# Camera parameters
# image_idx fx fy cx cy qw qx qy qz tx ty tz
10 800.000000 800.000000 1920.000000 1080.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
11 800.000000 800.000000 1920.000000 1080.000000 0.999965 -0.001877 0.007990 -0.001579 0.999488 -0.016606 -0.027357
9 800.000000 800.000000 1920.000000 1080.000000 0.999846 0.006661 -0.016232 0.000619 -2.451427 -0.018716 0.110838
8 800.000000 800.000000 1920.000000 1080.000000 0.999350 0.017476 -0.029690 0.010581 -4.996375 -0.502910 0.222613
7 800.000000 800.000000 1920.000000 1080.000000 0.996936 0.028010 -0.071809 0.013312 -7.662175 -0.507738 0.145612
6 800.000000 800.000000 1920.000000 1080.000000 0.963223 -0.140351 -0.223736 -0.049455 -9.166685 -2.103787 -2.123450
5 800.000000 800.000000 1920.000000 1080.000000 0.828832 -0.113791 -0.542162 -0.078418 -5.661355 -2.095121 -4.313626
4 800.000000 800.000000 1920.000000 1080.000000 0.918621 -0.087975 -0.383422 -0.037194 -13.465556 -1.018344 -1.454471
3 800.000000 800.000000 1920.000000 1080.000000 0.928667 -0.024997 -0.365720 -0.056584 -15.408490 0.627611 -1.917435
2 800.000000 800.000000 1920.000000 1080.000000 0.868612 -0.115372 -0.481510 -0.018719 -18.866683 -1.609540 -0.161688
1 800.000000 800.000000 1920.000000 1080.000000 0.797971 -0.140313 -0.577121 -0.102402 -19.560622 -1.581784 -1.741650
0 800.000000 800.000000 1920.000000 1080.000000 0.811828 -0.041212 -0.566995 -0.133237 -19.105301 0.240688 -3.077250
