# 3D points
# X Y Z R G B
5.701737 -2.319330 4.239089 225 241 241
5.701737 -2.319330 4.239089 225 241 241
-7.380758 -2.851623 5.085485 208 195 190
11.213670 0.513305 5.981115 237 245 220
9.679733 0.423198 5.905388 23 24 3
9.679733 0.423198 5.905388 23 24 3
9.756540 0.434872 5.926981 242 247 227
9.756540 0.434872 5.926981 242 247 227
-6.677046 -5.596820 4.994912 35 25 29
-7.450726 -2.663165 5.098909 230 221 213
-7.450726 -2.663165 5.098909 230 221 213
5.636708 -2.343937 4.232314 213 224 235
-6.859839 -2.044600 5.122308 205 196 192
-6.859839 -2.044600 5.122308 205 196 192
11.562900 0.468847 6.000324 225 227 210
11.562900 0.468847 6.000324 225 227 210
-6.365665 -2.116411 5.198848 184 177 177
-8.594268 -5.446238 5.111240 18 14 6
-6.610414 -4.139541 4.959202 255 247 255
-6.647604 -5.608930 4.990245 255 255 255
-6.991016 -4.202075 4.955327 76 69 67
-6.991016 -4.202075 4.955327 76 69 67
-7.036035 -4.933615 5.011283 15 8 8
5.448451 -2.322491 4.225935 186 198 204
11.051696 0.399696 5.971174 245 243 225
10.237761 0.373825 5.933034 4 4 0
10.237761 0.373825 5.933034 4 4 0
5.885858 -2.359331 4.241319 210 223 224
10.986812 0.380091 5.955002 21 19 1
-6.809329 -2.426926 5.236475 193 183 182
-0.483757 -0.558510 4.429395 186 190 194
-8.356325 -6.231439 5.066899 255 246 255
-5.677833 -2.924869 5.365291 214 193 189
-0.232262 0.157945 4.653375 229 229 226
-6.962168 -1.765423 5.113497 233 230 215
4.162302 -2.240332 4.089985 57 42 4
-5.676099 -2.846398 5.327286 227 211 207
-5.920369 -2.747298 5.343680 207 191 185
-5.920369 -2.747298 5.343680 207 191 185
-5.889575 -1.867820 5.321532 0 0 0
12.467749 0.477437 6.049486 213 216 196
12.467749 0.477437 6.049486 213 216 196
-9.683626 -5.787367 5.165683 12 6 13
4.213570 -2.299795 4.085882 215 199 168
10.772031 0.459337 5.956100 35 35 21
10.772031 0.459337 5.956100 35 35 21
4.274309 -2.141575 4.127254 80 44 11
12.555248 0.473065 6.060404 18 20 3
-8.107226 -4.554087 5.014213 255 255 255
-8.290614 -6.243353 5.116883 255 254 251
11.518559 0.459082 6.003977 20 20 4
11.518559 0.459082 6.003977 20 20 4
4.370250 -2.038970 4.129950 255 239 199
4.393720 -2.048408 4.137203 49 22 0
-6.213596 -6.133254 5.018816 49 42 40
-6.213596 -6.133254 5.018816 49 42 40
-8.559271 -3.794813 5.054809 14 12 10
5.718871 -2.316046 4.232298 188 205 207
13.092152 1.155653 6.212521 127 153 140
5.004693 -1.956176 3.746654 186 206 211
5.592288 -3.098721 4.197824 230 223 203
-6.647147 -3.090402 5.248097 28 27 16
5.450381 -2.994602 4.194901 234 230 213
-7.352739 -1.292382 4.913846 164 160 143
4.303610 -2.116097 4.135919 31 0 0
2.357435 -2.363414 4.383209 19 27 43
-6.638042 -1.875763 5.207976 3 0 0
-6.636865 -1.875975 5.206875 3 0 0
-6.940968 -2.312760 5.127905 0 0 0
-6.630014 -1.842542 5.188045 216 207 199
11.768818 0.501141 6.011020 4 8 0
11.768818 0.501141 6.011020 4 8 0
-7.206747 -2.578929 5.160491 13 6 6
-7.058762 -6.479291 5.064334 27 27 24
-5.679190 -2.707616 5.311388 181 170 165
-6.675525 -1.821334 5.188868 201 192 186
-7.088526 -2.768484 5.227361 224 218 213
13.126970 1.211782 6.201636 174 201 183
-9.619334 -4.030030 5.100131 24 23 16
4.205044 -2.426157 4.089954 116 73 24
2.033487 -2.614129 4.371695 255 255 248
1.991113 -2.624162 4.364697 248 239 233
4.455431 -2.132308 4.127409 89 55 14
5.308963 -3.065932 4.196526 255 228 216
